選手名,best_nine,年齢,年数,身長,体重,年俸(推定),打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,出塁率,長打率,OPS,NOI,GPA,IsoP,IsoD,RC,RC27,XR,XR27,BABIP,SecA,TA,本塁打率,三振率,四球率,PSN,BB/K,守備_内野手,守備_外野手,守備_投手,守備_捕手,投打_右両,投打_右右,投打_右左,投打_左右,投打_左左
ハーミッダ,0,31.0,1.0,192.0,100.0,6000.0,0.21100000000000002,50.0,192.0,166.0,12.0,35.0,8.0,1.0,1.0,48.0,18.0,1.0,1.0,0.0,0.0,24.0,0.0,2.0,60.0,1.0,0.318,0.289,0.607,0.414,0.215,0.078,0.107,16.59,3.37,16.8,3.41,0.324,0.223,0.556,166.0,3.2,8.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
西川　遥輝,0,23.0,5.0,179.0,75.0,4800.0,0.276,125.0,521.0,442.0,68.0,122.0,18.0,9.0,5.0,173.0,35.0,30.0,7.0,15.0,0.0,60.0,2.0,4.0,98.0,1.0,0.368,0.391,0.759,0.498,0.263,0.115,0.092,72.38,5.7,69.91,5.5,0.331,0.303,0.7929999999999999,88.4,5.32,8.68,8.57,0.61,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
中島　卓也,1,24.0,7.0,176.0,70.0,4000.0,0.264,143.0,617.0,515.0,69.0,136.0,8.0,2.0,0.0,148.0,39.0,34.0,7.0,34.0,0.0,66.0,0.0,2.0,93.0,10.0,0.35,0.287,0.637,0.446,0.22899999999999998,0.023,0.086,61.5,3.86,60.65,3.81,0.298,0.204,0.614,0.0,6.63,9.35,0.0,0.71,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
清水　優心,0,19.0,1.0,185.0,88.0,600.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21,-2.81,-0.19,-2.57,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
大谷　翔平,0,21.0,3.0,193.0,90.0,10000.0,0.20199999999999999,70.0,119.0,109.0,15.0,22.0,4.0,0.0,5.0,41.0,17.0,1.0,0.0,0.0,2.0,8.0,1.0,0.0,43.0,1.0,0.252,0.376,0.628,0.377,0.207,0.174,0.05,10.54,3.16,11.59,3.48,0.27,0.257,0.568,21.8,2.77,14.88,1.67,0.19,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
松本　剛,0,22.0,4.0,181.0,80.0,620.0,0.182,11.0,14.0,11.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,0.25,0.273,0.523,0.341,0.18100000000000002,0.091,0.068,0.81,1.99,0.79,1.94,0.25,0.182,0.444,0.0,2.8,14.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
渡邉　諒,0,20.0,2.0,178.0,80.0,690.0,0.154,9.0,13.0,13.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.154,0.154,0.308,0.205,0.10800000000000001,0.0,0.0,-0.1,-0.25,-0.02,-0.05,0.222,0.0,0.182,0.0,3.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
森本　龍弥,0,21.0,3.0,185.0,93.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
淺間　大基,0,19.0,1.0,183.0,75.0,540.0,0.285,46.0,140.0,130.0,16.0,37.0,6.0,3.0,0.0,49.0,10.0,4.0,2.0,3.0,2.0,5.0,0.0,0.0,29.0,2.0,0.307,0.377,0.6829999999999999,0.4320000000000001,0.23199999999999998,0.092,0.022000000000000002,14.89,3.94,14.74,3.9,0.349,0.146,0.5770000000000001,0.0,4.83,28.0,0.0,0.17,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
中嶋　聡,0,46.0,29.0,182.0,82.0,3200.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
岡　大海,0,24.0,2.0,185.0,83.0,840.0,0.23600000000000002,101.0,294.0,259.0,35.0,61.0,14.0,0.0,4.0,87.0,26.0,18.0,3.0,10.0,1.0,17.0,0.0,7.0,64.0,8.0,0.299,0.336,0.635,0.41100000000000003,0.21899999999999997,0.1,0.064,27.28,3.35,27.26,3.35,0.282,0.22399999999999998,0.603,64.75,4.59,17.29,6.55,0.27,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
矢野　謙次,0,35.0,13.0,178.0,81.0,4800.0,0.19699999999999998,40.0,84.0,76.0,5.0,15.0,4.0,0.0,1.0,22.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,10.0,3.0,0.27399999999999997,0.289,0.563,0.37,0.196,0.092,0.076,5.24,2.21,5.36,2.26,0.215,0.145,0.469,76.0,8.4,21.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
鵜久森　淳志,0,28.0,11.0,189.0,92.0,960.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.33299999999999996,0.0,0.33299999999999996,0.33299999999999996,0.15,0.0,0.33299999999999996,0.1,1.39,0.15,2.03,0.0,0.5,0.5,0.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
石川　慎吾,0,22.0,4.0,178.0,77.0,730.0,0.207,43.0,99.0,87.0,11.0,18.0,4.0,1.0,2.0,30.0,11.0,1.0,1.0,2.0,0.0,9.0,0.0,1.0,11.0,2.0,0.289,0.345,0.633,0.40399999999999997,0.21600000000000005,0.138,0.08199999999999999,8.45,3.08,8.6,3.14,0.21100000000000002,0.24100000000000002,0.556,43.5,9.0,11.0,1.33,0.82,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
宇佐美　塁大,0,21.0,3.0,177.0,79.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
佐藤　賢治,0,27.0,9.0,181.0,87.0,1030.0,0.214,16.0,29.0,28.0,3.0,6.0,1.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.24100000000000002,0.25,0.491,0.325,0.171,0.036000000000000004,0.027000000000000003,1.44,1.77,1.47,1.8,0.429,0.071,0.364,0.0,2.07,29.0,0.0,0.07,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
近藤　健介,0,22.0,4.0,173.0,85.0,1800.0,0.326,129.0,504.0,435.0,68.0,142.0,33.0,2.0,8.0,203.0,60.0,6.0,2.0,3.0,5.0,59.0,2.0,2.0,59.0,9.0,0.405,0.467,0.872,0.561,0.299,0.14,0.079,83.18,7.2,79.66,6.89,0.35600000000000004,0.285,0.882,54.38,8.54,8.54,6.86,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
市川　友也,0,30.0,6.0,176.0,81.0,1700.0,0.226,43.0,120.0,106.0,11.0,24.0,4.0,1.0,2.0,36.0,12.0,0.0,0.0,6.0,1.0,6.0,0.0,1.0,30.0,0.0,0.272,0.34,0.612,0.385,0.207,0.113,0.046,10.33,3.14,10.67,3.24,0.272,0.17,0.524,53.0,4.0,20.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
荒張　裕司,0,26.0,6.0,180.0,85.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
杉谷　拳士,0,24.0,7.0,173.0,77.0,1700.0,0.295,84.0,192.0,166.0,25.0,49.0,5.0,2.0,1.0,61.0,12.0,8.0,7.0,9.0,1.0,9.0,0.0,7.0,28.0,1.0,0.355,0.3670000000000001,0.723,0.478,0.252,0.07200000000000001,0.06,22.2,4.44,21.87,4.37,0.327,0.133,0.624,166.0,6.86,21.33,1.78,0.32,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高濱　祐仁,0,19.0,1.0,183.0,88.0,480.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-2.7,-0.18,-2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
谷口　雄也,0,23.0,5.0,182.0,87.0,1000.0,0.243,48.0,124.0,107.0,15.0,26.0,5.0,0.0,2.0,37.0,10.0,5.0,2.0,1.0,2.0,14.0,0.0,0.0,25.0,3.0,0.325,0.34600000000000003,0.6709999999999999,0.44,0.233,0.10300000000000001,0.08199999999999999,12.58,3.82,13.18,4.0,0.289,0.262,0.628,53.5,4.96,8.86,2.86,0.56,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
太田　賢吾,0,18.0,1.0,186.0,72.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
大嶋　匠,0,25.0,4.0,180.0,95.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
岸里　亮佑,0,20.0,2.0,180.0,72.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
石川　亮,0,20.0,2.0,180.0,83.0,460.0,0.214,27.0,31.0,28.0,1.0,6.0,2.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,0.0,0.226,0.28600000000000003,0.512,0.321,0.17300000000000001,0.071,0.012,1.87,2.11,2.47,2.78,0.28600000000000003,0.107,0.409,0.0,3.44,31.0,0.0,0.11,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
佐藤　正尭,0,19.0,1.0,168.0,78.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
陽　岱鋼,0,29.0,11.0,183.0,89.0,16000.0,0.293,130.0,555.0,495.0,66.0,145.0,24.0,1.0,14.0,213.0,61.0,5.0,6.0,7.0,1.0,42.0,1.0,10.0,121.0,10.0,0.359,0.43,0.79,0.503,0.26899999999999996,0.13699999999999998,0.067,74.6,5.39,72.53,5.24,0.35600000000000004,0.22,0.721,35.36,4.59,13.21,7.37,0.35,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
杉谷　拳士,0,25.0,8.0,173.0,77.0,2400.0,0.24,62.0,138.0,104.0,11.0,25.0,5.0,1.0,0.0,32.0,9.0,4.0,2.0,23.0,0.0,11.0,1.0,0.0,23.0,1.0,0.313,0.308,0.621,0.41600000000000004,0.218,0.067,0.073,11.55,2.97,11.13,2.86,0.24,0.192,0.5489999999999999,0.0,6.0,12.55,0.0,0.48,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
田中　賢介,0,35.0,15.0,176.0,78.0,15000.0,0.272,143.0,626.0,541.0,61.0,147.0,14.0,1.0,2.0,169.0,53.0,22.0,8.0,3.0,4.0,69.0,3.0,9.0,56.0,4.0,0.361,0.312,0.674,0.465,0.24100000000000002,0.040999999999999995,0.08900000000000001,70.94,4.64,70.86,4.63,0.29600000000000004,0.19399999999999998,0.643,270.5,11.18,9.07,3.67,1.23,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
飯山　裕志,0,37.0,19.0,178.0,78.0,2450.0,0.33299999999999996,36.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.33299999999999996,0.667,1.0,0.556,0.317,0.33299999999999996,0.0,0.62,8.4,0.52,7.02,1.0,0.33299999999999996,1.0,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
レアード,0,29.0,2.0,185.0,98.0,10000.0,0.263,143.0,598.0,547.0,71.0,144.0,21.0,0.0,39.0,282.0,97.0,0.0,0.0,0.0,4.0,44.0,1.0,3.0,138.0,16.0,0.319,0.516,0.835,0.491,0.273,0.252,0.055999999999999994,85.95,5.49,87.36,5.58,0.281,0.33299999999999996,0.785,14.03,4.33,13.59,0.0,0.32,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
中田　翔,1,27.0,9.0,183.0,100.0,24500.0,0.25,141.0,624.0,569.0,61.0,142.0,26.0,1.0,25.0,245.0,110.0,2.0,1.0,0.0,5.0,47.0,1.0,3.0,126.0,14.0,0.308,0.431,0.738,0.451,0.24600000000000002,0.18100000000000002,0.057999999999999996,73.58,4.44,74.94,4.53,0.27699999999999997,0.265,0.67,22.76,4.95,13.28,3.7,0.37,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
西川　遥輝,1,24.0,6.0,179.0,76.0,6200.0,0.314,138.0,593.0,493.0,76.0,155.0,18.0,4.0,5.0,196.0,43.0,41.0,5.0,22.0,2.0,73.0,0.0,3.0,113.0,0.0,0.405,0.39799999999999996,0.802,0.537,0.281,0.083,0.09,93.7,6.89,90.24,6.64,0.376,0.304,0.898,98.6,5.25,8.12,8.91,0.65,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
近藤　健介,0,23.0,5.0,173.0,83.0,4800.0,0.265,80.0,291.0,257.0,36.0,68.0,9.0,0.0,2.0,83.0,27.0,5.0,2.0,3.0,2.0,29.0,0.0,0.0,45.0,7.0,0.337,0.32299999999999995,0.66,0.444,0.23199999999999998,0.057999999999999996,0.07200000000000001,28.77,3.83,28.88,3.84,0.307,0.183,0.581,128.5,6.47,10.03,2.86,0.64,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
中島　卓也,0,25.0,8.0,176.0,73.0,8000.0,0.243,143.0,600.0,473.0,66.0,115.0,10.0,1.0,0.0,127.0,28.0,23.0,9.0,62.0,1.0,63.0,0.0,1.0,117.0,5.0,0.33299999999999996,0.268,0.601,0.42200000000000004,0.217,0.025,0.09,50.95,3.16,51.1,3.17,0.27399999999999997,0.188,0.551,0.0,5.13,9.52,0.0,0.54,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
清水　優心,0,20.0,2.0,185.0,88.0,610.0,0.25,5.0,8.0,8.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.25,0.25,0.5,0.33299999999999996,0.175,0.0,0.0,0.44,1.97,0.44,1.98,0.33299999999999996,0.0,0.33299999999999996,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
大谷　翔平,1,22.0,4.0,193.0,92.0,20000.0,0.322,104.0,382.0,323.0,65.0,104.0,18.0,1.0,22.0,190.0,67.0,7.0,2.0,0.0,4.0,54.0,2.0,1.0,98.0,7.0,0.41600000000000004,0.588,1.004,0.612,0.33399999999999996,0.266,0.094,76.33,8.88,74.72,8.7,0.396,0.449,1.0959999999999999,14.68,3.9,7.07,10.62,0.55,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
松本　剛,0,23.0,5.0,181.0,78.0,630.0,0.23800000000000002,12.0,22.0,21.0,1.0,5.0,1.0,0.0,0.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.23800000000000002,0.28600000000000003,0.524,0.33299999999999996,0.179,0.048,0.0,1.52,2.41,1.46,2.32,0.294,0.095,0.43799999999999994,0.0,4.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
渡邉　諒,0,21.0,3.0,178.0,78.0,700.0,0.33299999999999996,1.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,1.3330000000000002,1.6669999999999998,0.778,0.483,1.0,0.0,1.25,16.85,1.26,17.01,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
森本　龍弥,0,22.0,4.0,185.0,97.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
淺間　大基,0,20.0,2.0,183.0,76.0,900.0,0.191,52.0,115.0,110.0,9.0,21.0,4.0,1.0,1.0,30.0,9.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,36.0,0.0,0.21899999999999997,0.273,0.4920000000000001,0.31,0.16699999999999998,0.08199999999999999,0.027999999999999997,5.71,1.69,6.0,1.78,0.27,0.127,0.389,110.0,3.19,28.75,1.33,0.11,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
大野　奨太,0,29.0,8.0,177.0,78.0,4500.0,0.245,109.0,351.0,282.0,26.0,69.0,13.0,0.0,5.0,97.0,35.0,1.0,0.0,31.0,0.0,25.0,0.0,13.0,63.0,6.0,0.33399999999999996,0.344,0.6779999999999999,0.449,0.23600000000000002,0.099,0.09,35.02,3.78,34.51,3.73,0.261,0.191,0.621,56.4,5.57,14.04,1.67,0.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
岡　大海,0,25.0,3.0,185.0,83.0,1800.0,0.374,41.0,154.0,131.0,28.0,49.0,7.0,0.0,2.0,62.0,12.0,9.0,1.0,3.0,1.0,15.0,0.0,4.0,27.0,4.0,0.45,0.473,0.924,0.608,0.321,0.099,0.076,28.7,8.52,27.09,8.04,0.44299999999999995,0.275,1.023,65.5,5.7,10.27,3.27,0.56,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
大累　進,0,26.0,4.0,175.0,73.0,800.0,0.0,14.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.98,-3.31,-0.83,-2.8,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
矢野　謙次,0,36.0,14.0,178.0,85.0,5000.0,0.207,34.0,35.0,29.0,1.0,6.0,2.0,0.0,1.0,11.0,8.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,5.0,0.0,0.314,0.379,0.6940000000000001,0.441,0.23600000000000002,0.172,0.107,3.99,4.49,4.34,4.88,0.20800000000000002,0.31,0.696,29.0,7.0,8.75,0.0,0.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
平沼　翔太,0,19.0,1.0,179.0,78.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
石川　慎吾,0,23.0,5.0,178.0,76.0,1000.0,0.07400000000000001,12.0,28.0,27.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.07400000000000001,0.07400000000000001,0.14800000000000002,0.099,0.052000000000000005,0.0,0.0,-1.82,-1.82,-1.62,-1.62,0.087,0.0,0.077,0.0,5.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
宇佐美　塁大,0,22.0,4.0,177.0,80.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
市川　友也,0,31.0,7.0,176.0,81.0,1700.0,0.165,71.0,156.0,133.0,9.0,22.0,2.0,0.0,1.0,27.0,12.0,1.0,0.0,10.0,2.0,8.0,1.0,3.0,28.0,2.0,0.226,0.203,0.429,0.294,0.152,0.038,0.061,5.13,1.11,6.4,1.38,0.18100000000000002,0.105,0.345,133.0,5.57,19.5,1.0,0.29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
横尾　俊建,0,23.0,1.0,177.0,90.0,750.0,0.11800000000000001,10.0,17.0,17.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.11800000000000001,0.11800000000000001,0.235,0.157,0.08199999999999999,0.0,0.0,-0.5,-0.9,-0.37,-0.67,0.14300000000000002,0.0,0.133,0.0,5.67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
荒張　裕司,0,27.0,7.0,180.0,83.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
姫野　優也,0,19.0,1.0,184.0,85.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
髙濱　祐仁,0,20.0,2.0,183.0,84.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
谷口　雄也,0,24.0,6.0,182.0,84.0,1200.0,0.254,83.0,211.0,193.0,26.0,49.0,3.0,2.0,1.0,59.0,9.0,7.0,0.0,9.0,0.0,8.0,0.0,1.0,48.0,2.0,0.287,0.306,0.593,0.389,0.20600000000000002,0.052000000000000005,0.033,18.05,3.14,17.78,3.1,0.314,0.13,0.514,193.0,4.4,26.38,1.75,0.17,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
太田　賢吾,0,19.0,2.0,186.0,74.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
大嶋　匠,0,26.0,5.0,180.0,97.0,500.0,0.2,12.0,17.0,15.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.235,0.267,0.502,0.324,0.17300000000000001,0.067,0.035,1.02,2.11,1.33,2.76,0.214,0.067,0.41700000000000004,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
岸里　亮佑,0,21.0,3.0,180.0,71.0,490.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
石川　亮,0,21.0,3.0,180.0,84.0,650.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
