選手名,best_nine,年齢,年数,身長,体重,年俸(推定),打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,出塁率,長打率,OPS,NOI,GPA,IsoP,IsoD,RC,RC27,XR,XR27,BABIP,SecA,TA,本塁打率,三振率,四球率,PSN,BB/K,守備_内野手,守備_外野手,守備_投手,守備_捕手,投打_右両,投打_右右,投打_右左,投打_左右,投打_左左
秋山　翔吾,0,23.0,1.0,183.0,83.0,1200.0,0.23199999999999998,110.0,313.0,284.0,35.0,66.0,9.0,6.0,1.0,90.0,21.0,8.0,5.0,8.0,0.0,15.0,0.0,6.0,63.0,1.0,0.285,0.317,0.602,0.391,0.20800000000000002,0.085,0.053,26.11,3.04,25.97,3.02,0.285,0.14800000000000002,0.509,284.0,4.97,20.87,1.78,0.24,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
鬼崎　裕司,0,28.0,4.0,177.0,77.0,1400.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32,-2.92,-0.29,-2.61,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
熊代　聖人,0,22.0,1.0,175.0,72.0,800.0,0.25,81.0,77.0,64.0,6.0,16.0,1.0,0.0,0.0,17.0,8.0,2.0,0.0,4.0,2.0,6.0,0.0,1.0,20.0,0.0,0.315,0.266,0.581,0.40399999999999997,0.20800000000000002,0.016,0.065,6.77,3.38,7.38,3.69,0.32,0.141,0.542,0.0,3.85,12.83,0.0,0.3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
中村　剛也,1,28.0,10.0,175.0,102.0,12500.0,0.26899999999999996,144.0,622.0,525.0,97.0,141.0,30.0,0.0,48.0,315.0,116.0,4.0,1.0,0.0,6.0,79.0,2.0,12.0,134.0,15.0,0.373,0.6,0.973,0.573,0.318,0.331,0.10400000000000001,113.7,7.56,114.42,7.61,0.266,0.488,1.023,10.94,4.64,7.87,7.38,0.59,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
星　孝典,0,29.0,7.0,176.0,81.0,820.0,0.242,40.0,73.0,66.0,6.0,16.0,2.0,1.0,0.0,20.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0,14.0,3.0,0.28600000000000003,0.303,0.589,0.387,0.204,0.061,0.043,5.05,2.44,4.92,2.37,0.29100000000000004,0.106,0.47200000000000003,0.0,5.21,36.5,0.0,0.14,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
荒川　雄太,0,24.0,6.0,182.0,87.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
中田　祥多,0,21.0,4.0,182.0,84.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
斉藤　彰吾,0,22.0,4.0,180.0,85.0,650.0,0.25,36.0,9.0,8.0,10.0,2.0,0.0,0.0,0.0,2.0,1.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.33299999999999996,0.25,0.583,0.41700000000000004,0.213,0.0,0.083,1.12,3.78,1.22,4.12,0.33299999999999996,0.625,0.875,0.0,4.5,9.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
梅田　尚通,0,22.0,4.0,185.0,85.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
林崎　遼,0,24.0,2.0,175.0,75.0,1000.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
大崎　雄太朗,0,28.0,6.0,169.0,76.0,1500.0,0.26899999999999996,107.0,298.0,260.0,22.0,70.0,15.0,1.0,1.0,90.0,22.0,1.0,0.0,10.0,4.0,17.0,1.0,7.0,27.0,4.0,0.326,0.34600000000000003,0.6729999999999999,0.442,0.233,0.077,0.057,31.27,4.06,31.11,4.04,0.28,0.146,0.593,260.0,11.04,17.53,1.0,0.63,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
栗山　巧,0,29.0,11.0,177.0,85.0,20000.0,0.289,103.0,467.0,394.0,57.0,114.0,17.0,1.0,2.0,139.0,33.0,3.0,1.0,12.0,3.0,52.0,0.0,6.0,62.0,4.0,0.37799999999999995,0.353,0.731,0.496,0.258,0.063,0.08900000000000001,58.63,5.28,57.51,5.18,0.325,0.201,0.698,197.0,7.53,8.98,2.4,0.84,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
カーター,0,30.0,1.0,183.0,98.0,4800.0,0.294,59.0,138.0,126.0,9.0,37.0,8.0,0.0,4.0,57.0,27.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,22.0,3.0,0.348,0.452,0.8,0.499,0.27,0.159,0.054000000000000006,19.29,5.6,18.83,5.47,0.327,0.23800000000000002,0.7390000000000001,31.5,6.27,13.8,0.0,0.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
中島　裕之,1,30.0,12.0,181.0,90.0,28000.0,0.311,136.0,567.0,499.0,69.0,155.0,29.0,1.0,13.0,225.0,74.0,7.0,6.0,1.0,6.0,52.0,3.0,9.0,76.0,10.0,0.382,0.451,0.833,0.532,0.284,0.14,0.071,85.44,6.29,83.44,6.14,0.341,0.24600000000000002,0.797,38.38,7.46,10.9,9.1,0.68,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
美沢　将,0,24.0,3.0,181.0,75.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
原　拓也,0,28.0,6.0,175.0,78.0,3000.0,0.168,86.0,138.0,113.0,12.0,19.0,4.0,0.0,0.0,23.0,3.0,1.0,0.0,7.0,1.0,14.0,0.0,3.0,22.0,1.0,0.275,0.204,0.478,0.34299999999999997,0.175,0.035,0.107,7.2,1.89,7.98,2.09,0.192,0.168,0.4320000000000001,0.0,6.27,9.86,0.0,0.64,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ヘルマン,0,34.0,1.0,175.0,88.0,5600.0,0.27,144.0,583.0,507.0,55.0,137.0,20.0,4.0,3.0,174.0,60.0,41.0,13.0,10.0,5.0,57.0,1.0,4.0,75.0,20.0,0.34600000000000003,0.34299999999999997,0.6890000000000001,0.46,0.24100000000000002,0.073,0.075,62.82,4.06,62.7,4.05,0.302,0.24100000000000002,0.653,169.0,7.77,10.23,5.59,0.76,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
片岡　易之,0,29.0,8.0,176.0,83.0,13000.0,0.225,52.0,231.0,204.0,26.0,46.0,6.0,1.0,2.0,60.0,19.0,8.0,7.0,7.0,4.0,15.0,0.0,1.0,30.0,6.0,0.27699999999999997,0.294,0.5710000000000001,0.375,0.198,0.069,0.051,14.77,2.19,16.46,2.44,0.24,0.147,0.45,102.0,7.7,15.4,3.2,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
平尾　博嗣,0,37.0,19.0,176.0,79.0,3800.0,0.133,12.0,16.0,15.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.188,0.133,0.321,0.23199999999999998,0.11800000000000001,0.0,0.054000000000000006,-0.32,-0.63,-0.22,-0.42,0.16699999999999998,0.067,0.214,0.0,5.33,16.0,0.0,0.33,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
阿部　真宏,0,34.0,12.0,181.0,83.0,3300.0,0.0,14.0,18.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.067,0.0,0.067,0.067,0.03,0.0,0.067,-1.66,-2.36,-1.55,-2.2,0.0,0.071,0.063,0.0,18.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
佐藤　友亮,0,34.0,12.0,178.0,85.0,3300.0,0.071,12.0,16.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.071,0.071,0.14300000000000002,0.095,0.05,0.0,0.0,-1.06,-1.79,-0.97,-1.64,0.067,0.0,0.071,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
オーティズ,0,35.0,8.0,177.0,80.0,0.0,0.28600000000000003,64.0,214.0,199.0,20.0,57.0,8.0,0.0,9.0,92.0,21.0,0.0,1.0,0.0,0.0,14.0,0.0,1.0,38.0,8.0,0.336,0.462,0.799,0.491,0.267,0.17600000000000002,0.05,27.97,5.0,27.46,4.91,0.316,0.24100000000000002,0.7020000000000001,22.11,5.63,15.29,0.0,0.37,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
星　孝典,0,30.0,8.0,176.0,82.0,1400.0,0.14300000000000002,29.0,23.0,21.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.182,0.14300000000000002,0.325,0.22899999999999998,0.11800000000000001,0.0,0.039,0.08,0.12,0.23,0.33,0.16699999999999998,0.0,0.222,0.0,5.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
